,word
1,(:
2,:)
3,accepta*
4,accepting
5,actively
6,admir*
7,ador*
8,advantag*
9,adventur*
10,affection*
11,agree
12,agreeableness
13,agreeably
14,agreed
15,agreeing
16,agreement*
17,agrees
18,alright*
19,amaze*
20,amazingly
21,amor*
22,amus*
23,aok
24,appreciat*
25,approv*
26,assur*
27,attracted
28,attracting
29,attraction
30,award*
31,beautify
32,beauty
33,beloved
34,benefic*
35,benefit
36,benefits
37,benefitt*
38,benevolen*
39,bestie
40,besties
41,bless*
42,bliss*
43,bold
44,boldly
45,bonus*
46,brave
47,bravery
48,braves
49,bright
50,brilliance*
51,brilliantly
52,calming
53,carefree
54,certain*
55,challeng*
56,champ*
57,charit*
58,charm*
59,cheer
60,cheers
61,cherish*
62,chuckl*
63,comed*
64,comfort
65,comfortably
66,comforting
67,comforts
68,compassion*
69,compliment*
70,confidence
71,confident
72,confidently
73,contented*
74,contentment
75,courag*
76,creation
77,creations
78,creativity
79,credit*
80,cutie*
81,daring
82,darlin*
83,dear
84,dearly
85,decent
86,delectabl*
87,delicate*
88,delicious*
89,deligh*
90,desir*
91,determina*
92,determined
93,devot*
94,dignified
95,dignifies
96,dignifying
97,dignity
98,divin*
99,eagerly
100,eagerness
101,ease*
102,easily
103,easiness
104,ecsta*
105,elegan*
106,encourag*
107,energ*
108,engag*
109,enjoy*
110,entertain*
111,enthus*
112,excel
113,excellence
114,excellent
115,excellently
116,excitedly
117,excitement
118,fab
119,fabulously
120,fabulousness
121,faith*
122,fantasi*
123,fantastically
124,fantasy
125,favor
126,favors
127,favour*
128,fearless*
129,festiv*
130,fiesta*
131,flatter*
132,flawless*
133,flexib*
134,flirt
135,fondly
136,fondness
137,forgave
138,forgiv*
139,free-think*
140,freed*
141,freeing
142,freely
143,frees*
144,freethink*
145,funnies
146,funnily
147,funniness
148,genero*
149,gently
150,giggl*
151,giver*
152,gladly
153,glamor*
154,glamour*
155,glori*
156,glory
157,good
158,goodness
159,gorgeously
160,gorgeousness
161,grace
162,graced
163,graceful*
164,graces
165,graci*
166,grande*
167,gratef*
168,grati*
169,greatness
170,grin
171,grinn*
172,grins
173,ha
174,hah
175,haha*
176,handsomely
177,happily
178,happiness
179,harmon*
180,healer*
181,heartwarm*
182,heaven*
183,heh*
184,helper*
185,helpfully
186,helpfulness
187,helping
188,hero
189,hero's
190,heroes
191,heroic*
192,heroine*
193,heroism
194,hilarious
195,hoho*
196,honestly
197,honesty
198,honor*
199,honour*
200,hooray
201,hug
202,hugg*
203,hugs
204,humor*
205,humour*
206,hurra*
207,ideal*
208,importance
209,important
210,importantly
211,impress*
212,improve*
213,improving
214,incentive*
215,innocen*
216,inspir*
217,intellect*
218,intelligence
219,intelligent
220,interest
221,interested
222,interesting
223,interests
224,invigor*
225,joke*
226,joking
227,jolly
228,joy*
229,keen*
230,kidding
231,kind
232,kindly
233,kindn*
234,kiss*
235,laidback
236,laugh*
237,libert*
238,(do) like
239,(don't) like
240,(did) like
241,(didn't) like
242,(will) like
243,(won't) like
244,(does) like
245,(doesn't) like
246,(did not) like
247,(will not) like
248,(do not) like
249,(does not) like
250,(would not) like
251,(should not) like
252,(could not) like
253,(53) like*
254,likeab*
255,livel*
256,lmao*
257,lmfao*
258,lol
259,love
260,loved
261,lovely
262,lover*
263,loves
264,loving*
265,loyalt*
266,luck
267,lucked
268,luckily
269,luv
270,magnific*
271,merit*
272,merr*
273,neatness
274,nicely
275,niceness*
276,niceties
277,nurtur*
278,ok
279,okay
280,okey*
281,open-minded*
282,openminded*
283,openness
284,opportun*
285,optimal*
286,optimism
287,paradise*
288,partie*
289,party*
290,passion*
291,peace
292,peacefully
293,peacekeep*
294,peacemak*
295,perfecting
296,perfection
297,perfectly
298,play
299,playfully
300,playfulness
301,plays
302,pleasant*
303,please*
304,pleasing
305,pleasur*
306,politely
307,populari*
308,positively
309,positives
310,positivi*
311,prais*
312,precious*
313,pretty
314,pride
315,privileg*
316,prize*
317,profit*
318,promise*
319,promising
320,proud
321,proudly
322,radian*
323,readiness
324,ready
325,reassur*
326,reinvigor*
327,rejoice*
328,relax*
329,relief
330,reliev*
331,resolv*
332,respect
333,respected
334,respectfully
335,reward*
336,riches
337,rofl*
338,romanc*
339,romantic*
340,safely
341,safety
342,satisf*
343,secur*
344,sentimental*
345,share
346,shares
347,sincer*
348,smartly
349,smil*
350,sociability
351,soulmate*
352,splendidly
353,splendor
354,strength*
355,strongly
356,succeed*
357,success
358,successes
359,successfully
360,sunny
361,sunshin*
362,superb*
363,superior
364,supported
365,supporter*
366,supporting
367,supports
368,suprem*
369,sure*
370,surprise
371,surprising*
372,sweetheart*
373,sweetie*
374,sweetly
375,sweetness*
376,sweets
377,talent*
378,teehe*
379,tenderly
380,terrifically
381,thankfully
382,thanx
383,thnx
384,thoughtful*
385,thrill*
386,thx
387,toleran*
388,tranquil*
389,treasur*
390,treat
391,triumph*
392,trust
393,trustworthiness
394,trustworthy
395,truth*
396,ty
397,useful
398,usefully
399,usefulness
400,valuabl*
401,value
402,valued
403,values
404,vigor*
405,vigour*
406,virtue*
407,virtuo*
408,vital*
409,warmly
410,warmth
411,wealth
412,welcom*
413,wellbeing
414,wellness
415,win
416,winn*
417,wins
418,wisdom
419,wisely
420,wonderfully
421,worship*
422,wow*
423,yay*
424,yum
