,candidate,election_year,recipient_state,disbursement_amount
0,anderson_80,1980,OH,900.0
1,anderson_80,1980,DC,538994.0
2,anderson_80,1980,CA,6005.0
3,anderson_80,1980,OR,765.0
4,anderson_80,1980,MA,875.0
5,anderson_80,1980,NV,70.0
6,anderson_80,1980,WA,365.0
7,anderson_80,1980,LA,20.0
8,anderson_80,1980,TX,1100.0
9,anderson_80,1980,IN,70.0
10,anderson_80,1980,NY,2490.0
11,anderson_80,1980,MI,170.0
12,anderson_80,1980,VT,175.0
13,anderson_80,1980,NH,850.0
14,anderson_80,1980,VA,475.0
15,anderson_80,1980,FL,655.0
16,anderson_80,1980,ME,180.0
17,anderson_80,1980,MO,325.0
18,anderson_80,1980,WY,10.0
19,anderson_80,1980,NJ,965.0
20,anderson_80,1980,PA,820.0
21,anderson_80,1980,MN,750.0
22,anderson_80,1980,ND,25.0
23,anderson_80,1980,WV,25.0
24,anderson_80,1980,KS,145.0
25,anderson_80,1980,CT,1270.0
26,anderson_80,1980,AZ,75.0
27,anderson_80,1980,MD,1235.0
28,anderson_80,1980,MS,250.0
29,anderson_80,1980,WI,655.0
30,anderson_80,1980,GA,50.0
31,anderson_80,1980,IL,160.0
32,anderson_80,1980,AL,1000.0
33,anderson_80,1980,CO,115.0
34,anderson_80,1980,RI,100.0
35,anderson_80,1980,UT,100.0
36,anderson_80,1980,IA,50.0
37,anderson_80,1980,TN,0.0
38,anderson_80,1980,NC,0.0
39,anderson_80,1980,KY,0.0
40,anderson_80,1980,OK,0.0
41,anderson_80,1980,MT,0.0
42,anderson_80,1980,ID,0.0
43,anderson_80,1980,HI,0.0
44,anderson_80,1980,SD,0.0
45,anderson_80,1980,SC,0.0
46,anderson_80,1980,AR,0.0
47,anderson_80,1980,NE,0.0
48,anderson_80,1980,DE,0.0
49,anderson_80,1980,NM,0.0
50,anderson_80,1980,AK,0.0
51,carter_80,1980,OH,0.0
52,carter_80,1980,DC,10077.0
53,carter_80,1980,CA,-1000.0
54,carter_80,1980,OR,0.0
55,carter_80,1980,MA,0.0
56,carter_80,1980,NV,0.0
57,carter_80,1980,WA,0.0
58,carter_80,1980,LA,1500.0
59,carter_80,1980,TX,-375.0
60,carter_80,1980,IN,0.0
61,carter_80,1980,NY,0.0
62,carter_80,1980,MI,-5.0
63,carter_80,1980,VT,0.0
64,carter_80,1980,NH,0.0
