,year,candidate,state,amount_spent,vote_share,cost_per_vote_share,party,party_partition,party_dummy
0,1980,anderson_80,OH,900.0,5.94,151.5151515151515,Independent,Third,2
1,1980,anderson_80,DC,538994.0,9.28,58081.25000000001,Independent,Third,2
2,1980,anderson_80,CA,6005.0,8.62,696.6357308584687,Independent,Third,2
3,1980,anderson_80,OR,765.0,9.51,80.4416403785489,Independent,Third,2
4,1980,anderson_80,MA,875.0,15.15,57.755775577557756,Independent,Third,2
5,1980,anderson_80,NV,70.0,7.12,9.831460674157304,Independent,Third,2
6,1980,anderson_80,WA,365.0,10.62,34.36911487758945,Independent,Third,2
7,1980,anderson_80,LA,20.0,1.7,11.764705882352942,Independent,Third,2
8,1980,anderson_80,TX,1100.0,2.46,447.1544715447155,Independent,Third,2
9,1980,anderson_80,IN,70.0,4.98,14.056224899598392,Independent,Third,2
10,1980,anderson_80,NY,2490.0,7.54,330.2387267904509,Independent,Third,2
11,1980,anderson_80,MI,170.0,7.04,24.147727272727273,Independent,Third,2
12,1980,anderson_80,VT,175.0,14.9,11.74496644295302,Independent,Third,2
13,1980,anderson_80,NH,850.0,12.94,65.68778979907265,Independent,Third,2
14,1980,anderson_80,VA,475.0,5.11,92.95499021526419,Independent,Third,2
15,1980,anderson_80,FL,655.0,5.14,127.431906614786,Independent,Third,2
16,1980,anderson_80,ME,180.0,10.2,17.647058823529413,Independent,Third,2
17,1980,anderson_80,MO,325.0,3.71,87.6010781671159,Independent,Third,2
18,1980,anderson_80,WY,10.0,6.83,1.4641288433382138,Independent,Third,2
19,1980,anderson_80,NJ,965.0,7.88,122.46192893401016,Independent,Third,2
20,1980,anderson_80,PA,820.0,6.42,127.72585669781931,Independent,Third,2
21,1980,anderson_80,MN,750.0,8.53,87.92497069167645,Independent,Third,2
22,1980,anderson_80,ND,25.0,7.84,3.188775510204082,Independent,Third,2
23,1980,anderson_80,WV,25.0,4.3,5.813953488372094,Independent,Third,2
24,1980,anderson_80,KS,145.0,6.96,20.833333333333332,Independent,Third,2
25,1980,anderson_80,CT,1270.0,12.22,103.9279869067103,Independent,Third,2
26,1980,anderson_80,AZ,75.0,8.81,8.51305334846765,Independent,Third,2
27,1980,anderson_80,MD,1235.0,7.76,159.14948453608247,Independent,Third,2
28,1980,anderson_80,MS,250.0,1.35,185.18518518518516,Independent,Third,2
29,1980,anderson_80,WI,655.0,7.07,92.64497878359263,Independent,Third,2
30,1980,anderson_80,GA,50.0,2.26,22.123893805309738,Independent,Third,2
31,1980,anderson_80,IL,160.0,7.3,21.91780821917808,Independent,Third,2
32,1980,anderson_80,AL,1000.0,1.23,813.0081300813008,Independent,Third,2
33,1980,anderson_80,CO,115.0,11.03,10.426110607434271,Independent,Third,2
34,1980,anderson_80,RI,100.0,14.38,6.954102920723226,Independent,Third,2
35,1980,anderson_80,UT,100.0,5.01,19.960079840319363,Independent,Third,2
36,1980,anderson_80,IA,50.0,8.78,5.694760820045558,Independent,Third,2
52,1980,carter_80,DC,10077.0,13.41,751.4541387024608,Democratic,Democratic,0
58,1980,carter_80,LA,1500.0,51.2,29.296875,Democratic,Democratic,0
66,1980,carter_80,FL,1970.0,55.52,35.482708933717575,Democratic,Democratic,0
88,1980,carter_80,TN,3815.0,48.7,78.33675564681724,Democratic,Democratic,0
103,1980,clark_80,DC,10000.0,0.63,15873.015873015873,Libertarian,Third,2
104,1980,clark_80,CA,790.0,1.73,456.64739884393066,Libertarian,Third,2
112,1980,clark_80,NY,1400.0,0.85,1647.0588235294117,Libertarian,Third,2
116,1980,clark_80,VA,200.0,0.69,289.8550724637681,Libertarian,Third,2
118,1980,clark_80,ME,300.0,0.98,306.12244897959187,Libertarian,Third,2
122,1980,clark_80,PA,300.0,0.73,410.95890410958907,Libertarian,Third,2
123,1980,clark_80,MN,888.0,1.54,576.6233766233767,Libertarian,Third,2
128,1980,clark_80,AZ,1350.0,2.15,627.9069767441861,Libertarian,Third,2
131,1980,clark_80,WI,1325.0,1.28,1035.15625,Libertarian,Third,2
132,1980,clark_80,GA,235.0,0.98,239.79591836734696,Libertarian,Third,2
141,1980,clark_80,KY,216.0,0.43,502.3255813953488,Libertarian,Third,2
142,1980,clark_80,OK,83.0,1.2,69.16666666666667,Libertarian,Third,2
143,1980,clark_80,MT,288.0,2.7,106.66666666666666,Libertarian,Third,2
154,1980,reagan_80,DC,400.0,74.89,5.341167044999333,Republican,Republican,1
155,1980,reagan_80,CA,19137.0,35.91,532.9156223893067,Republican,Republican,1
157,1980,reagan_80,MA,350.0,41.75,8.383233532934131,Republican,Republican,1
158,1980,reagan_80,NV,350.0,26.89,13.015991074748976,Republican,Republican,1
159,1980,reagan_80,WA,225.0,37.32,6.028938906752412,Republican,Republican,1
161,1980,reagan_80,TX,1870.0,41.42,45.14727184934814,Republican,Republican,1
163,1980,reagan_80,NY,2150.0,43.99,48.8747442600591,Republican,Republican,1
164,1980,reagan_80,MI,735.0,42.5,17.294117647058822,Republican,Republican,1
167,1980,reagan_80,VA,1286600.0,40.31,31917.638303150583,Republican,Republican,1
168,1980,reagan_80,FL,1745.0,38.5,45.324675324675326,Republican,Republican,1
169,1980,reagan_80,ME,300.0,42.25,7.100591715976331,Republican,Republican,1
170,1980,reagan_80,MO,200.0,44.35,4.509582863585118,Republican,Republican,1
172,1980,reagan_80,NJ,1250.0,38.56,32.41701244813278,Republican,Republican,1
173,1980,reagan_80,PA,3000.0,42.48,70.62146892655367,Republican,Republican,1
175,1980,reagan_80,ND,300.0,26.26,11.424219345011423,Republican,Republican,1
178,1980,reagan_80,CT,50.0,38.52,1.2980269989615782,Republican,Republican,1
179,1980,reagan_80,AZ,1025.0,28.24,36.29603399433428,Republican,Republican,1
180,1980,reagan_80,MD,755.0,47.14,16.01612218922359,Republican,Republican,1
181,1980,reagan_80,MS,200.0,48.09,4.158868787689748,Republican,Republican,1
183,1980,reagan_80,GA,550.0,55.76,9.863701578192252,Republican,Republican,1
184,1980,reagan_80,IL,4645.0,41.72,111.33748801534037,Republican,Republican,1
185,1980,reagan_80,AL,100.0,47.45,2.107481559536354,Republican,Republican,1
186,1980,reagan_80,CO,1085.0,31.07,34.92114579980689,Republican,Republican,1
188,1980,reagan_80,UT,150.0,20.57,7.292173067574137,Republican,Republican,1
193,1980,reagan_80,OK,100.0,34.97,2.8595939376608523,Republican,Republican,1
194,1980,reagan_80,MT,50.0,32.43,1.5417823003391922,Republican,Republican,1
195,1980,reagan_80,ID,200.0,25.19,7.939658594680428,Republican,Republican,1
196,1980,reagan_80,HI,150.0,44.8,3.348214285714286,Republican,Republican,1
197,1980,reagan_80,SD,175.0,31.69,5.52224676554118,Republican,Republican,1
198,1980,reagan_80,SC,200.0,48.04,4.163197335553705,Republican,Republican,1
