,State,Vote Share,candidate
0,DC,13.41,carter_80
1,GA,40.95,carter_80
2,HI,42.9,carter_80
3,MD,44.18,carter_80
4,MN,42.56,carter_80
5,RI,37.2,carter_80
6,WV,45.3,carter_80
7,AL,48.75,carter_80
8,AK,54.35,carter_80
9,AZ,60.61,carter_80
10,AR,48.13,carter_80
11,CA,52.69,carter_80
12,CO,55.07,carter_80
13,CT,48.16,carter_80
14,DE,47.21,carter_80
15,FL,55.52,carter_80
16,ID,66.46,carter_80
17,IL,49.65,carter_80
18,IN,56.01,carter_80
19,IA,51.31,carter_80
20,KS,57.85,carter_80
21,KY,49.07,carter_80
22,LA,51.2,carter_80
23,ME,45.61,carter_80
24,MA,41.9,carter_80
25,MI,48.99,carter_80
26,MS,49.42,carter_80
27,MO,51.16,carter_80
28,MT,56.82,carter_80
29,NE,65.53,carter_80
30,NV,62.54,carter_80
31,NH,57.74,carter_80
32,NJ,51.97,carter_80
33,NM,54.97,carter_80
34,NY,46.66,carter_80
35,NC,49.3,carter_80
36,ND,64.23,carter_80
37,OH,51.51,carter_80
38,OK,60.5,carter_80
39,OR,48.33,carter_80
40,PA,49.59,carter_80
41,SC,49.57,carter_80
42,SD,60.53,carter_80
43,TN,48.7,carter_80
44,TX,55.28,carter_80
45,UT,72.77,carter_80
46,VT,44.37,carter_80
47,VA,53.03,carter_80
48,WA,49.66,carter_80
49,WI,47.9,carter_80
50,WY,62.64,carter_80
51,DC,74.89,reagan_80
52,GA,55.76,reagan_80
53,HI,44.8,reagan_80
54,MD,47.14,reagan_80
55,MN,46.5,reagan_80
56,RI,47.67,reagan_80
57,WV,49.81,reagan_80
58,AL,47.45,reagan_80
59,AK,26.41,reagan_80
60,AZ,28.24,reagan_80
61,AR,47.52,reagan_80
62,CA,35.91,reagan_80
63,CO,31.07,reagan_80
64,CT,38.52,reagan_80
65,DE,44.87,reagan_80
66,FL,38.5,reagan_80
67,ID,25.19,reagan_80
68,IL,41.72,reagan_80
69,IN,37.65,reagan_80
70,IA,38.6,reagan_80
71,KS,33.29,reagan_80
72,KY,47.61,reagan_80
73,LA,45.75,reagan_80
74,ME,42.25,reagan_80
75,MA,41.75,reagan_80
76,MI,42.5,reagan_80
77,MS,48.09,reagan_80
78,MO,44.35,reagan_80
79,MT,32.43,reagan_80
80,NE,26.04,reagan_80
81,NV,26.89,reagan_80
82,NH,28.35,reagan_80
83,NJ,38.56,reagan_80
84,NM,36.78,reagan_80
85,NY,43.99,reagan_80
86,NC,47.18,reagan_80
87,ND,26.26,reagan_80
88,OH,40.91,reagan_80
89,OK,34.97,reagan_80
90,OR,38.67,reagan_80
91,PA,42.48,reagan_80
92,SC,48.04,reagan_80
93,SD,31.69,reagan_80
94,TN,48.41,reagan_80
95,TX,41.42,reagan_80
96,UT,20.57,reagan_80
97,VT,38.41,reagan_80
98,VA,40.31,reagan_80
99,WA,37.32,reagan_80
100,WI,43.18,reagan_80
101,WY,27.97,reagan_80
102,DC,9.28,anderson_80
103,GA,2.26,anderson_80
104,HI,10.56,anderson_80
105,MD,7.76,anderson_80
106,MN,8.53,anderson_80
107,RI,14.38,anderson_80
108,WV,4.3,anderson_80
109,AL,1.23,anderson_80
110,AK,7.04,anderson_80
111,AZ,8.81,anderson_80
