Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2017",,,,,,,,,, release date: 03/06/2020,,,,
,,,,,,,,,,,,,,
"SOURCE: 2017 County Business Patterns.  For information on confidentiality protection, sampling error, and nonsampling error, see https://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,,,,
"For definitions, see https://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,,,,
The Census Bureau has reviewed this data product for unauthorized disclosure of confidential information and has approved the disclosure avoidance practices applied (Approval ID: CBDRB-FY19-460).,,,,,,,,,,,,,,
FIPS  CODE,GEOGRAPHIC AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
00,United States,01:  Total,"5,996,900","7,860,674","128,591,812",G,"6,725,346,754",G,,,,,,
00,United States,02:  <5,"3,698,086","3,703,759","5,937,081",G,"276,569,783",G,,,,,,
00,United States,03:  5-9,"1,009,851","1,022,121","6,656,073",G,"254,516,757",G,,,,,,
00,United States,04:  10-19,"631,981","666,636","8,503,293",G,"338,015,193",G,,,,,,
00,United States,05:  <20,"5,339,918","5,392,516","21,096,447",G,"869,101,733",G,,,,,,
00,United States,06:  20-99,"544,485","738,566","21,348,103",G,"928,144,057",G,,,,,,
00,United States,07:  100-499,"92,358","381,720","18,111,531",G,"914,291,189",G,,,,,,
00,United States,08:  <500,"5,976,761","6,512,802","60,556,081",G,"2,711,536,979",G,,,,,,
00,United States,09:  500+,"20,139","1,347,872","68,035,731",G,"4,013,809,775",G,,,,,,
01,Alabama,01:  Total,"74,288","100,419","1,690,061",G,"71,746,399",G,,,,,,
01,Alabama,02:  <5,"40,018","40,074","71,821",G,"2,631,606",G,,,,,,
01,Alabama,03:  5-9,"13,577","13,721","89,534",G,"2,992,152",G,,,,,,
01,Alabama,04:  10-19,"8,311","8,718","111,193",G,"3,989,696",G,,,,,,
01,Alabama,05:  <20,"61,906","62,513","272,548",G,"9,613,454",G,,,,,,
01,Alabama,06:  20-99,"7,693","10,532","282,771",G,"10,844,030",G,,,,,,
01,Alabama,07:  100-499,"2,125","5,927","247,601",G,"10,528,794",G,,,,,,
01,Alabama,08:  <500,"71,724","78,972","802,920",G,"30,986,278",G,,,,,,
01,Alabama,09:  500+,"2,564","21,447","887,141",G,"40,760,121",G,,,,,,
02,Alaska,01:  Total,"17,147","21,279","262,075",G,"15,007,844",G,,,,,,
02,Alaska,02:  <5,"10,302","10,331","14,976",G,"866,742",G,,,,,,
02,Alaska,03:  5-9,"2,917","2,958","19,178",G,"842,335",G,,,,,,
02,Alaska,04:  10-19,"1,737","1,885","23,009",G,"1,137,743",G,,,,,,
02,Alaska,05:  <20,"14,956","15,174","57,163",G,"2,846,820",G,,,,,,
02,Alaska,06:  20-99,"1,225","1,913","43,284",G,"2,170,710",G,,,,,,
